model-cv-0,0,0.22,0.1384,0.17,0.1398
model-cv-0,1,0.21,0.1393,0.17,0.1397
model-cv-0,2,0.18,0.1397,0.18,0.1392
model-cv-0,3,0.2,0.1392,0.21,0.1374
model-cv-0,4,0.21,0.1352,0.26,0.1323
model-cv-0,5,0.21,0.1322,0.26,0.1313
model-cv-0,6,0.26,0.1327,0.27,0.1306
model-cv-0,7,0.27,0.1336,0.27,0.1302
model-cv-0,8,0.29,0.1332,0.27,0.1296
model-cv-0,9,0.24,0.1327,0.29,0.1289
model-cv-0,10,0.27,0.1322,0.29,0.1283
model-cv-0,11,0.28,0.1319,0.3,0.1276
model-cv-0,12,0.33,0.1339,0.3,0.1268
model-cv-0,13,0.32,0.1262,0.3,0.1268
model-cv-0,14,0.32,0.1302,0.31,0.1266
model-cv-0,15,0.32,0.1299,0.31,0.1262
model-cv-0,16,0.31,0.1318,0.31,0.1258
model-cv-0,17,0.35,0.1258,0.32,0.1255
model-cv-0,18,0.28,0.1294,0.32,0.1247
model-cv-0,19,0.37,0.1271,0.31,0.1252
model-cv-0,20,0.34,0.1246,0.32,0.1245
model-cv-0,21,0.38,0.1217,0.32,0.1243
model-cv-0,22,0.36,0.125,0.32,0.1238
model-cv-0,23,0.27,0.1294,0.33,0.1237
model-cv-0,24,0.36,0.1246,0.33,0.1238
model-cv-0,25,0.32,0.1277,0.33,0.1233
model-cv-0,26,0.29,0.1248,0.33,0.1233
model-cv-0,27,0.38,0.1237,0.33,0.1228
model-cv-0,28,0.39,0.1238,0.34,0.1221
model-cv-0,29,0.33,0.1256,0.34,0.1226
model-cv-0,30,0.39,0.1231,0.34,0.1222
model-cv-0,31,0.25,0.1236,0.34,0.1221
model-cv-0,32,0.39,0.1238,0.34,0.1221
model-cv-0,33,0.36,0.1216,0.34,0.1219
model-cv-0,34,0.31,0.1293,0.34,0.1221
model-cv-0,35,0.36,0.1205,0.34,0.122
model-cv-0,36,0.27,0.1337,0.35,0.1214
model-cv-0,37,0.29,0.1257,0.35,0.1214
model-cv-0,38,0.39,0.125,0.34,0.1215
model-cv-0,39,0.44,0.1242,0.34,0.1216
model-cv-0,40,0.31,0.1262,0.35,0.1212
model-cv-0,41,0.37,0.1257,0.35,0.1213
model-cv-0,42,0.41,0.1193,0.35,0.1212
model-cv-0,43,0.34,0.1246,0.35,0.1208
model-cv-0,44,0.37,0.1207,0.35,0.121
model-cv-0,45,0.33,0.1261,0.35,0.1213
model-cv-0,46,0.46,0.117,0.35,0.121
model-cv-0,47,0.31,0.1261,0.35,0.1208
model-cv-0,48,0.32,0.1262,0.35,0.1209
model-cv-0,49,0.38,0.1172,0.35,0.1206
model-cv-0,50,0.33,0.1257,0.35,0.1208
model-cv-0,51,0.35,0.1245,0.35,0.1208
model-cv-0,52,0.43,0.1185,0.36,0.1206
model-cv-0,53,0.33,0.122,0.35,0.1206
model-cv-0,54,0.36,0.1212,0.35,0.1206
model-cv-0,55,0.32,0.1224,0.36,0.1201
model-cv-0,56,0.37,0.1223,0.35,0.1205
model-cv-0,57,0.35,0.1186,0.35,0.1202
model-cv-0,58,0.32,0.1256,0.35,0.1203
model-cv-0,59,0.37,0.12,0.36,0.1204
model-cv-0,60,0.31,0.1254,0.36,0.1201
model-cv-0,61,0.38,0.1223,0.35,0.1206
model-cv-0,62,0.36,0.1232,0.36,0.1201
model-cv-0,63,0.37,0.1203,0.35,0.1201
model-cv-0,64,0.38,0.1234,0.36,0.1199
model-cv-0,65,0.41,0.1178,0.36,0.1204
model-cv-0,66,0.33,0.1212,0.36,0.1202
model-cv-0,67,0.32,0.12,0.36,0.1198
model-cv-0,68,0.35,0.1196,0.36,0.1204
model-cv-0,69,0.35,0.1216,0.36,0.1199
model-cv-0,70,0.4,0.1174,0.36,0.1199
model-cv-0,71,0.32,0.1213,0.36,0.1198
model-cv-0,72,0.36,0.1219,0.36,0.1196
model-cv-0,73,0.44,0.1172,0.35,0.1203
model-cv-0,74,0.39,0.1212,0.35,0.12
model-cv-0,75,0.3,0.1239,0.36,0.12
model-cv-0,76,0.36,0.124,0.36,0.12
