model-cv-0,0,0.08,0.1205,0.14,0.1198
model-cv-0,1,0.15,0.0918,0.18,0.0871
model-cv-0,2,0.15,0.0826,0.19,0.0844
model-cv-0,3,0.15,0.0826,0.19,0.0838
model-cv-0,4,0.15,0.0831,0.19,0.0834
model-cv-0,5,0.08,0.084,0.2,0.0832
model-cv-0,6,0.08,0.0831,0.2,0.0831
model-cv-0,7,0.15,0.0831,0.2,0.083
model-cv-0,8,0.15,0.0836,0.2,0.083
model-cv-0,9,0.0,0.0846,0.21,0.0827
model-cv-0,10,0.31,0.0807,0.21,0.0825
model-cv-0,11,0.23,0.0817,0.22,0.0825
model-cv-0,12,0.08,0.0825,0.21,0.0825
model-cv-0,13,0.23,0.0836,0.22,0.0823
model-cv-0,14,0.08,0.0853,0.23,0.0819
model-cv-0,15,0.31,0.0827,0.23,0.0816
model-cv-0,16,0.08,0.0829,0.23,0.0814
model-cv-0,17,0.23,0.0825,0.24,0.0813
model-cv-0,18,0.08,0.0809,0.24,0.0811
model-cv-0,19,0.23,0.0841,0.25,0.0807
model-cv-0,20,0.31,0.0801,0.25,0.0805
model-cv-0,21,0.23,0.0818,0.25,0.0802
model-cv-0,22,0.15,0.0851,0.26,0.0803
model-cv-0,23,0.08,0.0881,0.26,0.0798
model-cv-0,24,0.15,0.0885,0.26,0.0797
model-cv-0,25,0.38,0.0816,0.27,0.0794
model-cv-0,26,0.15,0.0933,0.27,0.0791
model-cv-0,27,0.15,0.0853,0.27,0.0788
model-cv-0,28,0.08,0.0847,0.27,0.0785
model-cv-0,29,0.08,0.0841,0.28,0.0788
model-cv-0,30,0.0,0.0876,0.28,0.0784
model-cv-0,31,0.23,0.08,0.28,0.0781
model-cv-0,32,0.15,0.0839,0.28,0.0778
model-cv-0,33,0.15,0.0893,0.29,0.0783
model-cv-0,34,0.15,0.0869,0.29,0.0771
model-cv-0,35,0.08,0.0862,0.3,0.077
model-cv-0,36,0.08,0.0914,0.3,0.0768
model-cv-0,37,0.15,0.0865,0.31,0.076
model-cv-0,38,0.08,0.084,0.31,0.0758
model-cv-0,39,0.15,0.0897,0.31,0.0758
model-cv-0,40,0.15,0.0829,0.31,0.0755
model-cv-0,41,0.15,0.0863,0.32,0.0754
model-cv-0,42,0.23,0.0852,0.31,0.0751
model-cv-0,43,0.38,0.0826,0.32,0.075
model-cv-0,44,0.15,0.096,0.32,0.0748
model-cv-0,45,0.23,0.0766,0.33,0.0743
model-cv-0,46,0.08,0.0884,0.33,0.0745
model-cv-0,47,0.23,0.0835,0.33,0.0743
model-cv-0,48,0.23,0.0864,0.33,0.0744
model-cv-0,49,0.15,0.0927,0.33,0.0744
model-cv-1,0,0.17,0.088,0.18,0.0861
model-cv-1,1,0.2,0.0823,0.2,0.0833
model-cv-1,2,0.2,0.0819,0.21,0.0826
model-cv-1,3,0.2,0.0806,0.22,0.0821
model-cv-1,4,0.21,0.081,0.23,0.0814
model-cv-1,5,0.27,0.0802,0.24,0.0808
model-cv-1,6,0.23,0.0796,0.25,0.0801
model-cv-1,7,0.26,0.0791,0.26,0.0795
model-cv-1,8,0.27,0.0775,0.27,0.079
model-cv-1,9,0.28,0.0776,0.27,0.0787
model-cv-1,10,0.29,0.0785,0.27,0.0788
model-cv-1,11,0.28,0.0796,0.28,0.0781
model-cv-1,12,0.25,0.0772,0.29,0.0778
model-cv-1,13,0.26,0.0778,0.28,0.0776
model-cv-1,14,0.3,0.0757,0.29,0.0772
model-cv-1,15,0.32,0.0752,0.3,0.0768
model-cv-1,16,0.31,0.0756,0.3,0.0766
model-cv-1,17,0.26,0.0781,0.3,0.0765
model-cv-1,18,0.32,0.075,0.3,0.0763
model-cv-1,19,0.34,0.0752,0.3,0.0762
model-cv-1,20,0.27,0.0756,0.31,0.076
model-cv-1,21,0.29,0.0738,0.3,0.0758
model-cv-1,22,0.3,0.0748,0.31,0.0757
model-cv-1,23,0.33,0.0736,0.31,0.0757
model-cv-1,24,0.36,0.0733,0.31,0.0753
model-cv-1,25,0.3,0.0748,0.31,0.0755
model-cv-1,26,0.31,0.0748,0.32,0.0751
model-cv-1,27,0.31,0.074,0.32,0.0751
model-cv-1,28,0.36,0.0715,0.32,0.0748
model-cv-1,29,0.39,0.0728,0.31,0.0748
model-cv-1,30,0.37,0.0717,0.32,0.0748
model-cv-1,31,0.38,0.0723,0.32,0.0747
model-cv-1,32,0.33,0.0746,0.32,0.0745
model-cv-1,33,0.42,0.0728,0.33,0.0743
model-cv-1,34,0.31,0.0713,0.33,0.0738
model-cv-1,35,0.34,0.0715,0.33,0.0737
model-cv-1,36,0.41,0.0705,0.34,0.0734
model-cv-1,37,0.34,0.0719,0.34,0.0731
model-cv-1,38,0.32,0.0729,0.34,0.0732
model-cv-1,39,0.35,0.0712,0.34,0.073
model-cv-1,40,0.32,0.0716,0.34,0.073
model-cv-1,41,0.4,0.071,0.35,0.0726
model-cv-1,42,0.36,0.0713,0.34,0.0727
model-cv-1,43,0.34,0.0716,0.35,0.0727
